date,desc,dislikes,likes,title
"Aug 09, 2021",Super quick and easy to apply and to get the money directly to my bank.,0,0,Never been easier!
"Aug 09, 2021",Super quick and easy to apply and to get the money directly to my bank.,0,0,Never been easier!
"Aug 09, 2021",overall the lender is great compared to other lenders available,0,0,"quick, easy and fair"
"Aug 10, 2021",This was the smoothest and fastest turn around time of any lending process I've been involved with. I hope everyone finds out about Upstart.,0,0,Could not be easier!!!
"Aug 08, 2021",I applied for a loan on a Saturday evening Monday morning I had the money in the bank for a major purchase and I did have to call once and their customer service was outstanding,0,0,I had a great overall experience with this lender
"Aug 08, 2021","Amazing and easy process, quick loan that help me pay my debs",0,0,Great!!!!!
"Aug 08, 2021",Fast and easy. Money deposited overnight,0,0,Great
"Aug 08, 2021",Very easy and simple to use,0,0,Effortless!
"Aug 07, 2021",No real details from them but interst is too high anyway,2,2,Great Credit No Approval
"Aug 06, 2021",Process was easy and my rep that called answered all my questions.,0,0,Quick and easy
"Aug 04, 2021","Easy to apply, fast response, and if approved, quick and simple funding. Do not have to fill out and sign a ton of paperwork.",0,0,Great help at the right time.
"Aug 04, 2021",Very easy and simple process,0,0,Very simple
"Aug 04, 2021",Outstanding,0,0,Outstanding
"Aug 04, 2021","They were awesome. No problems, quick and fast.",0,0,Underwriter
"Aug 04, 2021","The application was so easy to do, fast response and works well with us!",0,0,So helpful!
"Aug 02, 2021",After working very hard to improve my credit I was finally able to qualify for a consolidation loan and an affordable monthly payment.,0,0,Easy approval process
"Aug 03, 2021",Got loan to combine bills it was super quick and easy.,0,0,Super Easy
"Aug 03, 2021","Fast, very easy process for applying. Customer service responded quickly. Highly recommend.",0,0,Upstart
"Aug 02, 2021",All though I did get the amount I asked for I got an amount I qualified for at the moment and the process was quick and easy,0,0,Quick and easy
"Jul 31, 2021",Very easy and fast. I had an issue and after emailing Upstart support it was handled so fast!! I was amazed. No robots...real people. Awesome!,0,0,So Easy
"Jul 30, 2021","This has been most anxious, stressful, hair pulling, banging my head in the wall experience I ever had. First they offered me a loan and then after I submitted all the documents some bot William kept emailing saying I didn't submit all the documents. I kept responding by attaching the same documents again and again just to get automated response saying that my question is forwarded to next available representative. When I finally got to talk to someone, they read your emails half way only and provide nonsense answer and they didn't even look at the previous email they sent me which is in the sane thread. Each time they ask for more documents ( some my bank says they don't provide) and they say if I can't provide the documents then their initial offer of 16 percent interest will be 29 percent interest ( which is same as my credit card which I am trying to pay off by lowering interest rate). Oh yeah and bot William is still sending me same email. Some of their customer service representatives are quite illiterate and speak to you like we are on a bazaar not like we are dealing with professional financial institution. I counted on that money due to their promise and it gas been a nightmare.",2,2,Horrible experience
"Jul 30, 2021",Super easy and fast!!,0,0,Simple and Fast
"Jul 29, 2021","Have borrowed three times from Upstart. They are transparent, efficient, and fair.",0,0,Another Good Upstart Experience
"Jul 29, 2021",Process was very quick and easy!,0,0,Outstanding
"Jul 28, 2021",This was a very quick and easy process,0,0,wonderful
"Jul 29, 2021",easiest experience I have ever had. and the information is clear and to the point,0,0,wonderful
"Jul 29, 2021",Fast and easy process.,0,0,Fast and easy process.
"Jul 28, 2021",Very fast and easy to apply,0,0,Fast
"Jul 27, 2021",Wow I can't believe it this is like an awesome opportunity starting to get into a little bit of investing while I have a good job hoping this helps it was a credibly helpful,0,0,Loved it couldn't ask for anything better I apprec
"Jul 27, 2021",Great customer service! Quick application process…,0,0,Lifesaver
